Date,Ticker,headline,snippet,full_text,media_name,media_reliability
2021-01-04,AAPL,Apple posts record profits in Q4 amid iPhone demand surge,Apple’s strong hardware and services performance drove an all-time high in quarterly revenue.,Apple reported revenue exceeding analyst estimates for the fourth quarter driven by strong iPhone 12 sales and expanding services revenue streams.,Reuters,0.95
2021-01-04,AAPL,Apple faces criticism over supplier factory working conditions,Human rights groups raise concerns about labor policies at Apple’s overseas suppliers.,Advocacy organizations have accused Apple’s manufacturing partners of violating labor standards; Apple said it is investigating and reaffirmed its supplier code of conduct.,SocialBuzz,0.40
2021-01-05,TSLA,Tesla beats vehicle delivery targets for sixth consecutive quarter,Tesla achieved record deliveries, surpassing Wall Street expectations amid strong global demand.,Tesla announced its sixth consecutive quarter of delivery growth exceeding analyst forecasts and signaling continued dominance in the electric vehicle market.,Bloomberg,0.90
2021-01-05,BP,BP announces new carbon reduction initiative to reach net-zero by 2050,BP outlines ambitious sustainability plan with increased investment in renewable energy projects.,BP has committed to a significant emissions reduction roadmap including expansion of renewable energy assets and cutting fossil fuel dependency to align with net-zero goals.,Financial Times,0.93
2021-01-06,MSFT,Microsoft launches new sustainability reporting platform,Microsoft introduces ESG data tools to help enterprises measure environmental impact and improve transparency.,Microsoft’s new cloud-based sustainability platform enables organizations to track carbon emissions, manage resources, and align with regulatory ESG disclosure requirements.,CNBC,0.88
2021-01-06,AMZN,Amazon faces criticism over warehouse safety standards,Labor unions criticize Amazon’s working conditions amid growing demand for rapid fulfillment.,Worker advocacy groups have raised concerns about Amazon warehouse safety claiming long shifts and inadequate rest breaks; Amazon stated it continues to invest in safety improvements.,Guardian,0.55
2021-01-07,TSLA,Tesla accused of misleading marketing over autopilot features,Safety watchdogs question Tesla’s claims on autonomous driving technology.,Regulators are investigating whether Tesla’s autopilot marketing misrepresents the car’s self-driving capabilities citing several crash incidents under review.,Wall Street Journal,0.92
2021-01-07,BP,BP expands offshore wind portfolio in North Sea partnership,BP enters joint venture to build large-scale wind farms accelerating its renewable energy transition.,BP announced a partnership with Equinor to develop offshore wind farms in the North Sea marking a strategic move toward sustainable energy diversification.,Bloomberg,0.89
2021-01-08,AAPL,Apple to phase out plastic packaging by 2025,Apple strengthens environmental commitments with new sustainable packaging targets.,Apple unveiled plans to remove all plastic from its packaging within four years as part of its broader initiative toward carbon neutrality by 2030.,Reuters,0.96
2021-01-08,MSFT,Microsoft’s cloud division reaches record revenue growth,Azure and Office 365 continue to drive Microsoft’s revenue growth amid strong enterprise demand.,Microsoft reported double-digit growth in its cloud business with Azure revenue up 50 percent year-over-year highlighting the firm’s resilience in enterprise solutions.,Bloomberg,0.91
2021-01-09,AMZN,Amazon invests $2 billion in climate pledge fund to support green tech startups,Amazon expands its sustainability efforts by financing early-stage climate innovation.,Amazon announced the Climate Pledge Fund to invest in companies developing decarbonization technologies aligning with its goal to reach net-zero carbon by 2040.,Financial Times,0.94
2021-01-09,BP,BP faces shareholder pressure over slow renewable transition,Investors push BP to accelerate its move away from oil and gas production.,Several institutional investors urged BP to strengthen its renewable strategy citing concerns that current targets are insufficient to meet 2030 emission reductions.,The Guardian,0.80
2021-01-10,AAPL,Apple delays supplier audit following pandemic-related disruptions,Apple postpones compliance inspections due to COVID-19 restrictions.,Apple temporarily delayed its 2021 supplier responsibility audits because of global travel constraints but affirmed commitment to resume oversight once conditions improve.,CNBC,0.86
2021-01-10,TSLA,Tesla secures battery supply deal with Panasonic for new gigafactory expansion,Tesla strengthens supply chain resilience with long-term partnership agreement.,Tesla signed a multi-year supply contract with Panasonic to ensure stable battery production for its upcoming Texas gigafactory supporting global EV growth.,Reuters,0.95
2021-01-11,MSFT,Microsoft joins UN-backed initiative to advance carbon accounting standards,Microsoft collaborates with global partners to create consistent carbon reporting frameworks.,The company joined a UN coalition to standardize carbon measurement methodologies helping corporations compare and verify emission reduction progress.,Financial Times,0.92
2021-01-11,AMZN,Amazon under fire for excessive packaging waste,Environmental groups criticize Amazon’s delivery packaging practices.,Sustainability advocates have raised concerns about the environmental impact of Amazon’s growing e-commerce packaging waste calling for adoption of recyclable materials.,SocialBuzz,0.42
2021-01-12,BP,BP reports quarterly profits amid energy price volatility,Profit rebounds as oil demand recovers but transition costs remain high.,BP posted better-than-expected quarterly profits driven by rising oil prices though ongoing green transition investments weighed on margins.,Bloomberg,0.90
2021-01-12,AAPL,Apple invests in new recycling technology to reduce rare earth dependency,Apple expands green initiatives through materials innovation partnerships.,Apple announced a new partnership to develop next-generation recycling technologies to recover rare earth elements and reduce reliance on mining.,Reuters,0.96
2021-01-13,TSLA,Tesla announces salary transparency policy to improve workplace equity,The EV maker implements new pay disclosure guidelines across its global workforce.,Tesla introduced salary transparency measures to ensure fairness and attract diverse talent aligning with broader ESG governance practices.,Financial Times,0.91